"","name","id","name_type","class","mass","fall","year","lat","long","geolocation","housenumber","street","city","state","zip","country"
"854","Rupota",22783,"Valid","L4-6",6000,"Fell",1949,-10.26667,38.76667,"(-10.26667, 38.76667)","House Number Not Found","Street Not Found","Nachingwea","Lindi","Postcode Not Found","Tanzania"
"855","Ryechki",22791,"Valid","L5",13000,"Fell",1914,51.13333,34.5,"(51.13333, 34.5)","House Number Not Found","Street Not Found","Richky","Sumy Oblast","41832","Ukraine"
"856","Sabetmahet",22792,"Valid","H5",1250,"Fell",1855,27.43333,82.08333,"(27.43333, 82.08333)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"857","Sabrum",22793,"Valid","LL6",478,"Fell",1999,23.08333,91.66667,"(23.08333, 91.66667)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"858","Sagan",22796,"Valid","Stone-uncl",NA,"Fell",1636,51.53333,14.88333,"(51.53333, 14.88333)","35","Street Not Found","Dabrowa Luzycka","Lubusz Voivodeship","68-132","Poland"
"859","Saint-Sauveur",23101,"Valid","EH5",14000,"Fell",1914,43.73333,1.38333,"(43.73333, 1.38333)","House Number Not Found","Street Not Found","Lespinasse","Occitania","31150","France"
"860","Saint-Séverin",23102,"Valid","LL6",271000,"Fell",1966,45.3,0.23333,"(45.3, 0.23333)","House Number Not Found","Street Not Found","Saint-Séverin","New Aquitaine","16390","France"
"861","Sakauchi",23103,"Valid","Iron",4180,"Fell",1913,35.66667,136.3,"(35.66667, 136.3)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"862","Salem",23107,"Valid","L6",61.4,"Fell",1981,44.97917,-122.96944,"(44.97917, -122.96944)","House Number Not Found","Fire Protection Way","Chemawa","Oregon","97309","United States of America"
"863","Salles",23111,"Valid","L5",9000,"Fell",1798,46.05,4.63333,"(46.05, 4.63333)","House Number Not Found","Street Not Found","Saint-Étienne-des-Oullières","Auvergne-Rhône-Alpes","69460","France"
"864","Salzwedel",23114,"Valid","LL5",43,"Fell",1985,52.75,11.05,"(52.75, 11.05)","House Number Not Found","Street Not Found","Kuhfelde","Saxony-Anhalt","29416","Germany"
"865","Samelia",23115,"Valid","Iron, IIIAB",2462,"Fell",1921,25.66667,74.86667,"(25.66667, 74.86667)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"866","San Juan Capistrano",23128,"Valid","H6",56,"Fell",1973,33.48472,-117.6625,"(33.48472, -117.6625)","House Number Not Found","Street Not Found","San Juan Capistrano","California","92675","United States of America"
"867","San Michele",31315,"Valid","L6",237,"Fell",2002,43.66667,13,"(43.66667, 13.0)","House Number Not Found","Street Not Found","City Not Found","Marche","Postcode Not Found","Italy"
"868","San Pedro de Quiles",23130,"Valid","L6",282,"Fell",1956,-31.01667,-71.4,"(-31.01667, -71.4)","House Number Not Found","Street Not Found","Punitaqui","Coquimbo Region","1890000","Chile"
"869","San Pedro Jacuaro",34063,"Valid","LL6",460,"Fell",1968,19.76667,-100.65,"(19.76667, -100.65)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"870","Santa Barbara",23161,"Valid","L4",400,"Fell",1873,-29.2,-51.86667,"(-29.2, -51.86667)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"871","Santa Cruz",23164,"Valid","CM2",60,"Fell",1939,24.16667,-99.33333,"(24.16667, -99.33333)","House Number Not Found","Street Not Found","City Not Found","State Not Found","Postcode Not Found","Country Not Found"
"872","Santa Isabel",23165,"Valid","L6",5500,"Fell",1924,-33.9,-61.7,"(-33.9, -61.7)","House Number Not Found","Street Not Found","Santa Isabel","Santa Fe","S4200","Argentina"
"873","Santa Lucia (2008)",50909,"Valid","L6",4000,"Fell",2008,-31.535556,-68.489444,"(-31.535556, -68.489444)","House Number Not Found","Street Not Found","Santa Lucía","San Juan","5411","Argentina"
